entity_name,entity_type,entity_description
吴承恩,人物,吴承恩（明），明代著名小说家，代表作《西游记》。
太宗,人物,唐太宗李世民，唐朝第二位皇帝，政治家、军事家、诗人。
魏征,人物,魏征（580年－643年），字玄成，唐朝政治家、军事家、文学家。
东胜神洲,地点,东胜神洲，位于《西游记》中，是四大部洲之一。
西牛贺洲,地点,西牛贺洲，位于《西游记》中，是四大部洲之一。
南赡部洲,地点,南赡部洲，位于《西游记》中，是四大部洲之一。
北俱芦洲,地点,北俱芦洲，位于《西游记》中，是四大部洲之一。
傲来国,地点,傲来国，位于《西游记》中，位于东胜神洲海东。
花果山,地点,花果山，位于《西游记》中，是孙悟空的出生地。
水帘洞,地点,水帘洞，位于《西游记》中，是孙悟空居住的地方。
灵台方寸山,地点,灵台方寸山，位于《西游记》中，是须菩提祖师的居所。
斜月三星洞,地点,斜月三星洞，位于《西游记》中，是须菩提祖师的洞府。
美猴王,人物,美猴王，孙悟空的前身，后来成为齐天大圣，拥有七十二变的能力。
祖师,人物,祖师，孙悟空的师傅，传授他道法。
孙悟空,人物,孙悟空，美猴王，后成为齐天大圣，拥有七十二变的能力，大闹天宫的主角。
菩提祖师,人物,菩提祖师，孙悟空的师傅，传授他道法和长生之道。
混世魔王,人物,混世魔王，孙悟空在北下遇见的妖魔。
众仙,人物,众仙，指孙悟空在菩提祖师门下的师兄们。
大众,人物,大众，指孙悟空的猴子们。
众猴,人物,众猴，指孙悟空在花果山的猴子们。
天罡数,人物,天罡数，指孙悟空学的七十二变变化中的三十六变。
地煞数,人物,地煞数，指孙悟空学的七十二变变化中的七十二变。
东海,地点,东海，孙悟空的家乡所在地。
西海,地点,西海，孙悟空曾游历过的海域。
南海,地点,南海，孙悟空曾游历过的海域。
北海,地点,北海，孙悟空曾游历过的海域。
苍梧,地点,苍梧，孙悟空曾游历过的地点。
直北下,地点,直北下，孙悟空在北下遇见混世魔王的地点。
花果山,地点,花果山，孙悟空的出生地和根据地。
水帘洞,地点,水帘洞，花果山的中心，孙悟空的洞府。
三星洞,地点,三星洞，孙悟空学习道法的洞府。
烂桃山,地点,烂桃山，孙悟空曾在此地吃桃。
九幽之处,地点,九幽之处，孙悟空如说出自己的师傅，就会被贬到的地方。
南赡部洲,地点,南赡部洲，孙悟空曾游历过的洲。
西牛贺洲,地点,西牛贺洲，孙悟空曾游历过的洲。
美猴王,人物,花果山的美猴王，孙悟空，具有超凡的神通和武艺。
混世魔王,人物,花果山附近的山魔王，被美猴王剿灭。
唐太宗,人物,唐朝皇帝，与美猴王的故事没有直接关联。
魏征,人物,唐朝政治家、军事家，与美猴王的故事没有直接关联。
赤尻马猴,人物,花果山的一种猴子，美猴王的朋友。
通背猿猴,人物,花果山的一种猴子，美猴王的朋友。
