source,target,relationship,description,strength
吴承恩,西游记,作者与作品关系,吴承恩是《西游记》的作者，因此他们之间存在作者与作品的关系。,9.0
太宗,《西游记》,历史与现实关系,太宗作为历史人物，在《西游记》中可能以某种形式出现，体现了历史与现实的关系。,7.5
魏征,《西游记》,历史与现实关系,魏征作为历史人物，在《西游记》中可能以某种形式出现，体现了历史与现实的关系。,7.5
东胜神洲,《西游记》,地点与作品关系,东胜神洲是《西游记》中的地点，因此它们之间存在地点与作品的关系。,8.0
西牛贺洲,《西游记》,地点与作品关系,西牛贺洲是《西游记》中的地点，因此它们之间存在地点与作品的关系。,8.0
南赡部洲,《西游记》,地点与作品关系,南赡部洲是《西游记》中的地点，因此它们之间存在地点与作品的关系。,8.0
北俱芦洲,《西游记》,地点与作品关系,北俱芦洲是《西游记》中的地点，因此它们之间存在地点与作品的关系。,8.0
傲来国,《西游记》,地点与作品关系,傲来国是《西游记》中的地点，因此它们之间存在地点与作品的关系。,8.0
花果山,《西游记》,地点与作品关系,花果山是《西游记》中的地点，因此它们之间存在地点与作品的关系。,8.0
水帘洞,《西游记》,地点与作品关系,水帘洞是《西游记》中的地点，因此它们之间存在地点与作品的关系。,8.0
灵台方寸山,《西游记》,地点与作品关系,灵台方寸山是《西游记》中的地点，因此它们之间存在地点与作品的关系。,8.0
斜月三星洞,《西游记》,地点与作品关系,斜月三星洞是《西游记》中的地点，因此它们之间存在地点与作品的关系。,8.0
美猴王,孙悟空,前身关系,美猴王是孙悟空的前身，后来孙悟空成为了齐天大圣，继承了美猴王的能力和地位。,8.5
孙悟空,祖师,师徒关系,孙悟空是祖师的徒弟，祖师传授了孙悟空道法和长生之道。,8.0
孙悟空,菩提祖师,师徒关系,孙悟空是菩提祖师的徒弟，菩提祖师传授了孙悟空道法和长生之道。,8.0
孙悟空,混世魔王,对手关系,孙悟空在北下遇见了混世魔王，两人之间有战斗关系。,7.0
