entity_name,entity_type,entity_description
盘古,人物,盘古是中国神话传说中的创世神，被尊为开天辟地、创造万物的始祖。
三皇,人物,三皇是中国古代传说中的三位伟大的神话帝王，具体指谁有多种说法，通常包括伏羲、神农、黄帝等。
五帝,人物,五帝是中国古代传说中的五位圣明君主，通常指黄帝、颛顼、帝喾、尧、舜。
东胜神洲,地点,东胜神洲是中国古代神话传说中的一个地方，是盘古开天辟地后形成的四大部洲之一。
西牛贺洲,地点,西牛贺洲是中国古代神话传说中的一个地方，也是盘古开天辟地后形成的四大部洲之一。
南赡部洲,地点,南赡部洲是中国古代神话传说中的一个地方，同样为盘古开天辟地后形成的四大部洲之一。
北俱芦洲,地点,北俱芦洲是中国古代神话传说中的一个地方，是四大部洲之一，具体位置和特征在传说中有所描述。
傲来国,地点,傲来国是中国古代神话传说中的国家，位于东胜神洲海外，靠近大海。
花果山,地点,花果山是中国古代神话传说中的名山，位于傲来国，是石猴孙悟空的诞生地，被称为十洲之祖脉，三岛之来龙。
水帘洞,地点,水帘洞是花果山上的一个洞穴，石猴孙悟空发现并成为其居所，被称为‘福地洞天’。
众猴,人物,一群猴子，它们活泼好动，具有猴性顽劣的特点，愿意跟随石猴进入洞天。
石猴,人物,具有领导能力的猴子，因其能进出洞天，被众猴尊为大王，后称美猴王，追求长生不老。
美猴王,人物,石猴被封的称号，因远虑而烦恼，决定离开猴群，云游海角，远涉天涯，寻找佛仙神圣三者，以求长生不老。
通背猿猴,人物,一个见识广博的猿猴，告诉美猴王有三等人不受阎王老子所管，鼓励美猴王去寻找佛仙神圣。
南赡部洲,地点,美猴王最终到达的地方，他在这里开始模仿人类的行为，寻找长生不老的方法。
猴王,人物,一位访道学仙的弟子，来自东胜神洲傲来国花果山水帘洞。他遇见樵夫后，得到了灵台方寸山和斜月三星洞的指引，希望拜访须菩提祖师。他具有孝心，但自称飘洋过海多年寻找修行之道。
樵汉,人物,一位勤劳的樵夫，与神仙相邻，得到了神仙的教诲。他因家事劳苦，无法去修行，但指引猴王去灵台方寸山寻找神仙。
须菩提祖师,人物,居住在灵台方寸山斜月三星洞的神仙，有许多徒弟在修行。他起初对猴王的来历持怀疑态度，但猴王坚称自己是从远方来寻道。
东胜神洲傲来国花果山水帘洞,地点,猴王的家乡，位于远方，隔着两重大海和一座南赡部洲。
灵台方寸山,地点,山中有一座斜月三星洞，是须菩提祖师的居所，环境优美，犹如仙境。
斜月三星洞,地点,位于灵台方寸山，须菩提祖师的居所，猴王受到指引前来拜访的地方。
祖师,人物,故事中的师傅，具有高深道行的仙人，教授孙悟空法术。
猴王,人物,后来的孙悟空，本无姓名，石里生长，后经祖师赐姓为孙，起名孙悟空。
花果山,地点,猴王孙悟空出生地，有一块仙石，石破后孙悟空诞生。
烂桃山,地点,猴王孙悟空在洞中修行时，常去打柴和吃桃的地方，七年中吃了七次桃子。
祖师,人物,故事中的师傅，教授孙悟空道法的人物。
悟空,人物,孙悟空，又称齐天大圣，是中国古典小说《西游记》中的主要角色，具有丰富的法力和变化。
后门,地点,孙悟空秘密进入学习道法的地方，位于师傅寝榻之侧。
悟空,人物,孙悟空，一只具有仙法的猴子，从东胜神洲傲来国花果山水帘洞来，学会了七十二变和筋斗云。
祖师,人物,悟空的师父，神仙，教给悟空七十二般变化和筋斗云。
东胜神洲傲来国花果山水帘洞,地点,孙悟空的故乡，位于东胜神洲傲来国。
北海,地点,祖师提及的早上游历的地点之一。
东海,地点,祖师提及的游历的地点之一。
西海,地点,祖师提及的游历的地点之一。
南海,地点,祖师提及的游历的地点之一。
苍梧,地点,祖师提及的晚上游历的地点，是北海零陵的别称。
三星洞,地点,祖师与众门人戏玩晚景的地点。
悟空,人物,孙悟空，又称美猴王，花果山水帘洞洞主，具有仙体和变化的能力。
花果山,地点,位于东溟的一个风景秀丽的山脉，是孙悟空的居所和水帘洞的所在地。
水帘洞,地点,位于花果山中，美猴王的洞府，被混世魔王侵占。
混世魔王,人物,占据水帘洞的妖魔，与孙悟空有隙，后被孙悟空所灭。
三界坎源山,地点,世上名山之一，水脏洞的所在地，景色奇特，四季如春。
水脏洞,地点,混世魔王占据的洞府，后被孙悟空烧毁。
好猴王,人物,故事中的主角，猴王孙悟空，具有仙法和武艺的猴子，冒险勇猛，智慧过人。
孩儿们,人物,花果山中众猴，追随好猴王孙悟空的猴子们，活泼好奇，忠诚可爱。
洞门,地点,花果山中猴群的居住地，位于山中，有着猴群的日常生活场景。
南赡部洲,地点,好猴王曾经流浪的地方，位于东洋大海的对岸，是一个神秘的地方。
西牛贺洲,地点,好猴王得到真功果的地方，位于西洋大海的地界，有着神奇的老祖和修炼法门。
傲来国,地点,一个拥有王位和无数军民的国家，位于花果山东面二百里水面之外，拥有丰富的工匠和资源。
花果山,地点,好猴王的故乡，故事的主要发生地，山青水秀，猴群聚集。
朝门,地点,傲来国的朝堂之门，悟空曾直接闯入，通向兵器馆和武库。
兵器馆,地点,傲来国内收藏无数器械的地方，包括刀、枪、剑、戟等兵器。
武库,地点,存放傲来国武器的地方，被好猴王孙悟空发现并搬空。
孙悟空,人物,孙悟空，花果山天生圣人，具有七十二般地煞变化之功和筋斗云的神通，能隐身遁身，起法摄法，入水不溺，入火不焚。
花果山,地点,花果山是孙悟空的居所，有七十二洞妖王，各种怪兽和妖精居住的地方。
东海龙王,人物,东海龙王敖广，掌管东海，具有丰富的神器。
水晶宫,地点,东海龙王的居所，位于东洋海底，内藏许多珍贵的神器。
南海龙王,人物,南海龙王敖钦，东海龙王的弟弟之一。
北海龙王,人物,北海龙王敖顺，东海龙王的弟弟之一。
西海龙王,人物,西海龙王敖闰，东海龙王的弟弟之一。
孙悟空,人物,花果山水帘洞的猴王，具有仙法和神通，能够变化如意金箍棒的形态和大小。
三海龙王,人物,指东海龙王、南海龙王和西海龙王，他们都拥有各自的海域和水族。
敖钦,人物,南海龙王，性格暴躁，提议对孙悟空采取武力。
老龙,人物,未明确指出具体身份的龙王，面临孙悟空的挑战。
西海龙王敖闰,人物,西海龙王，提出先满足孙悟空的要求，再上报天庭。
北海龙王敖顺,人物,北海龙王，提供藕丝步云履作为礼物给孙悟空。
四海龙王,人物,指东海、南海、西海和北海的龙王们，他们因为孙悟空的行为感到不平。
