source,target,relationship,description,strength
盘古,东胜神洲,创世与所在,盘古是创世神，东胜神洲是盘古开辟天地后形成的部洲之一，因此存在创世与所在的关系。,9.0
三皇,东胜神洲,治理与所在,三皇是治世的神话帝王，东胜神洲是他们的治理范围之一，故存在治理与所在的关系。,8.5
五帝,东胜神洲,定伦与所在,五帝定伦，东胜神洲是五帝定伦后形成的部洲，表现了定伦与所在的关系。,8.0
傲来国,东胜神洲,从属与所在,傲来国位于东胜神洲海外，是东胜神洲的一部分，体现了从属与所在的关系。,7.5
花果山,傲来国,地理位置,花果山位于傲来国，是该国的一部分，表现了地理位置上的从属关系。,8.0
水帘洞,花果山,洞穴与所在,水帘洞是花果山上的一处洞穴，是石猴孙悟空的居所，存在洞穴与所在山的关系。,9.0
众猴,石猴,追随关系,众猴愿意跟随石猴，进入洞天，并尊石猴为王，体现了明确的追随关系。,9
石猴,美猴王,自我提升,石猴因其能力被众猴尊为美猴王，标志着其地位和身份的提升。,8
美猴王,通背猿猴,指导关系,通背猿猴给予美猴王重要的指导，告诉他如何躲避阎王老子，寻求长生不老，表现出一种指导关系。,7
美猴王,南赡部洲,旅行目的地,美猴王离开众猴后，最终到达南赡部洲，这里成为了他新的旅行目的地。,6
众猴,美猴王,庆祝活动,众猴为美猴王准备送别筵宴，显示他们之间的团结和庆祝活动。,5
猴王,樵汉,相遇关系,猴王在林边遇见樵汉，樵汉指引猴王去灵台方寸山寻找神仙，表现了他们之间的相遇和指导关系。,7.0
猴王,须菩提祖师,师徒关系,猴王受樵汉指引，前往灵台方寸山寻找须菩提祖师，希望成为其弟子，显示他们之间存在潜在的师徒关系。,6.5
猴王,东胜神洲傲来国花果山水帘洞,来源关系,猴王自称来自东胜神洲傲来国花果山水帘洞，这是他的家乡，表现了他与地点之间的来源关系。,8.0
樵汉,灵台方寸山,居住关系,樵汉居住在灵台方寸山附近，并且熟悉山中神仙的情况，显示了他们之间的居住和知识关系。,5.5
须菩提祖师,斜月三星洞,居住关系,须菩提祖师居住在斜月三星洞，这是他的居所，也是猴王拜访他的地方，体现了他们之间的居住关系。,8.5
灵台方寸山,斜月三星洞,包含关系,斜月三星洞位于灵台方寸山中，是山的一部分，表现了地点之间的包含关系。,9.0
祖师,猴王,师徒关系,祖师教授猴王法术，并为其赐姓起名，建立了师徒之间的紧密关系。,9.0
猴王,花果山,出生地关系,猴王孙悟空在花果山的一块仙石中诞生，这是他的出生地。,8.0
猴王,烂桃山,修行地关系,猴王在烂桃山修行多年，并在那里吃了七次桃子，这是他修行的地点。,7.5
祖师,悟空,师徒关系,祖师教授悟空道法，并在故事中扮演了悟空导师和引路人的角色。,9.0
悟空,后门,学习场所,悟空按照祖师的指示，从后门进入学习道法，后门成为他学习过程中的秘密通道。,7.5
悟空,祖师,师徒关系,悟空是祖师的徒弟，祖师教授悟空七十二般变化和筋斗云，师徒之间存在明显的教导与学习关系。,9.0
悟空,东胜神洲傲来国花果山水帘洞,出处关系,悟空来自东胜神洲傲来国花果山水帘洞，这是他的故乡，他与这个地方有直接的出处联系。,8.5
祖师,三星洞,活动地点关系,祖师在三星洞前与众门人戏玩晚景，这是祖师的活动地点之一。,7.0
祖师,北海,描述关系,祖师提及北海是早上游历的地点之一，说明祖师对四海水域非常了解。,6.5
祖师,东海,描述关系,祖师提及东海是游历的地点之一，显示祖师具有广泛的游历经验。,6.5
祖师,西海,描述关系,祖师提及西海是游历的地点之一，同样表明祖师熟悉四海水域。,6.5
祖师,南海,描述关系,祖师提及南海是游历的地点之一，这也是对祖师广泛游历经历的描述。,6.5
祖师,苍梧,描述关系,祖师提及苍梧是晚上游历的地点，别称为北海零陵，说明祖师对地理知识有深入了解。,6.5
悟空,花果山,居所关系,悟空是花果山水帘洞的洞主，因此与花果山存在居所关系。,9
悟空,水帘洞,居所关系,水帘洞是悟空的洞府，因此他与水帘洞存在居所关系。,9
悟空,混世魔王,敌对关系,混世魔王占据了悟空的水帘洞，悟空寻他报仇，二者之间存在明显的敌对关系。,10
混世魔王,水帘洞,占据关系,混世魔王占据了水帘洞，二者之间存在占据关系。,9
混世魔王,水脏洞,居所关系,水脏洞是混世魔王的洞府，因此他与水脏洞存在居所关系。,9
花果山,水帘洞,位置关系,水帘洞位于花果山中，因此二者之间存在位置关系。,8
三界坎源山,水脏洞,位置关系,水脏洞位于三界坎源山上，因此二者之间存在位置关系。,8
好猴王,孩儿们,领导与追随者,好猴王作为猴群的领导者，孩儿们是追随他的猴子们，两者之间存在明显的领导与追随关系。,9
好猴王,洞门,居住地与居民,洞门是猴群的居住地，好猴王作为猴群的领导者，与洞门存在居住关系。,7
好猴王,南赡部洲,经历与地点,好猴王曾流浪于南赡部洲，在那里学成人像，因此他与南赡部洲存在经历上的联系。,6
好猴王,西牛贺洲,修炼与地点,西牛贺洲是好猴王得到真功果的地方，对他有特殊的意义，因此他与西牛贺洲的关系密切。,8
好猴王,傲来国,侵略与地点,好猴王曾到傲来国夺取兵器，因此他与傲来国存在一种侵略与被侵略的关系。,7
好猴王,花果山,故乡与居民,花果山是孙悟空的故乡，作为猴群的领导者，他与花果山有着深厚的情感联系。,9
好猴王,朝门,入侵者与地点,好猴王曾直接闯入傲来国的朝门，因此他与朝门存在一种入侵者与地点的关系。,6
好猴王,兵器馆,掠夺者与地点,好猴王曾闯入兵器馆并搬空里面的兵器，因此他与兵器馆存在一种掠夺者与地点的关系。,7
好猴王,武库,掠夺者与地点,好猴王搬空了傲来国的武库，他与武库的关系是掠夺者与地点的关系。,7
孙悟空,花果山,居所关系,孙悟空是花果山的猴王，他的居所就在花果山，因此他们之间存在紧密的居所关系。,9.0
孙悟空,东海龙王,交往关系,孙悟空到东海龙王水晶宫中借兵器，并与其互动，他们之间存在明显的交往关系。,8.0
东海龙王,水晶宫,居所关系,东海龙王的居所是水晶宫，位于东洋海底，因此他们之间存在居所关系。,10.0
东海龙王,南海龙王,兄弟关系,东海龙王与南海龙王是兄弟关系，这在文中直接提及。,9.5
东海龙王,北海龙王,兄弟关系,东海龙王与北海龙王是兄弟关系，这在文中直接提及。,9.5
东海龙王,西海龙王,兄弟关系,东海龙王与西海龙王是兄弟关系，这在文中直接提及。,9.5
孙悟空,南海龙王,间接交往,虽然孙悟空没有直接和南海龙王交往，但通过东海龙王提及，存在间接的关系。,5.0
孙悟空,北海龙王,间接交往,虽然孙悟空没有直接和北海龙王交往，但通过东海龙王提及，存在间接的关系。,5.0
孙悟空,西海龙王,间接交往,虽然孙悟空没有直接和西海龙王交往，但通过东海龙王提及，存在间接的关系。,5.0
孙悟空,三海龙王,对手关系,孙悟空向三海龙王索取兵器，并最终得到了他们的披挂，这表明他们之间存在一种对抗和互动的关系。,7
敖钦,孙悟空,敌对关系,敖钦提议用武力对付孙悟空，显示他们之间有明显的敌对关系。,8
老龙,孙悟空,求助关系,老龙因孙悟空的要求而召集其他龙王，显示出他对孙悟空的求助和应对。,6
西海龙王敖闰,孙悟空,策略关系,敖闰建议先满足孙悟空的要求再上报天庭，表明他与孙悟空之间有一种策略上的关系。,7
北海龙王敖顺,孙悟空,赠送关系,敖顺提供藕丝步云履给孙悟空，显示他们之间存在一种赠送和礼物的关系。,5
四海龙王,孙悟空,不满关系,四海龙王因为孙悟空的行为感到不平，商议上报天庭，说明他们对孙悟空有所不满。,6
四个老猴,孙悟空,部属关系,四个老猴被封为健将，帮助管理花果山，是孙悟空的得力部下。,8
七弟兄,孙悟空,结拜关系,孙悟空与其他六位魔王结拜为兄弟，他们之间有深厚的友谊和互助关系。,9
孙悟空,幽冥界,冲突关系,孙悟空在幽冥界与冥王发生冲突，显示他们之间存在对立和冲突的关系。,8
孙悟空,花果山,归属关系,花果山是孙悟空的出生地和居所，他与这个地方有着紧密的归属关系。,10
孙悟空,水晶宫,互动关系,孙悟空从水晶宫得到金冠、金甲等宝物，与水晶宫存在互动关系。,7
孙悟空,铁板桥,活动关系,铁板桥是孙悟空在花果山中活动的地方，与他的活动有直接关系。,6
